experiment,provider,model,target_tokens,concurrency,repetition,ttft_ms,total_ms,prompt_tokens,completion_tokens,tokens_per_second,citation_precision,citation_recall,groundedness,error
context_length,vllm,Qwen/Qwen3-0.6B,256,1,1,12866.797500000757,15513.214599999628,516,29,10.958212142754206,,,,
context_length,vllm,Qwen/Qwen3-0.6B,512,1,1,23037.272500001563,25785.440700001345,1027,29,10.552483650746815,,,,
evidence_budget,vllm,Qwen/Qwen3-0.6B,256,1,1,16745.043400000213,23434.99460000021,457,47,7.025462308305033,1.0,0.5,0.6666666666666666,
evidence_budget,vllm,Qwen/Qwen3-0.6B,512,1,1,19172.90099999991,23623.849300000074,907,47,10.559547501371398,1.0,0.5,0.6666666666666666,
prefix_cache,vllm,Qwen/Qwen3-0.6B,512,1,1,279.18640000098094,3182.62070000128,1027,29,9.988171593893828,,,,
prefix_cache,vllm,Qwen/Qwen3-0.6B,512,1,2,223.64759999982198,2924.974300000031,1027,29,10.735465651006876,,,,
concurrency,vllm,Qwen/Qwen3-0.6B,1024,1,1,50775.45409999948,53932.80969999978,2054,30,9.50162218028186,,,,
concurrency,vllm,Qwen/Qwen3-0.6B,1024,2,1,472.7648999996745,5883.50729999911,2054,30,5.544525645871282,,,,
concurrency,vllm,Qwen/Qwen3-0.6B,1024,2,2,809.602299999824,5941.197499998452,2054,30,5.846135330395511,,,,
concurrency,vllm,Qwen/Qwen3-0.6B,1024,4,1,548.4060999988287,10578.730699999142,2054,30,2.9909301240359722,,,,
concurrency,vllm,Qwen/Qwen3-0.6B,1024,4,2,1639.823299999989,10790.902700000515,2054,30,3.278301792463769,,,,
concurrency,vllm,Qwen/Qwen3-0.6B,1024,4,3,1595.166799999788,10742.809299999863,2054,30,3.279533497291762,,,,
concurrency,vllm,Qwen/Qwen3-0.6B,1024,4,4,1526.7800000001444,10670.372000000498,2054,30,3.280986290726756,,,,
context_length,ollama,qwen3:0.6b,256,1,1,7756.228500000361,9418.873599999642,520,32,19.246440506163243,,,,
context_length,ollama,qwen3:0.6b,512,1,1,4654.589100000521,5598.81470000073,1031,24,25.417654424953835,,,,
evidence_budget,ollama,qwen3:0.6b,256,1,1,3110.200099999929,5767.593600001419,461,83,31.233612936869704,1.0,0.5,0.6666666666666666,
evidence_budget,ollama,qwen3:0.6b,512,1,1,3668.7377999987802,6927.279899999121,911,84,25.778399487301765,1.0,0.5,0.6666666666666666,
prefix_cache,ollama,qwen3:0.6b,512,1,1,201.253799999904,1262.2467999990477,1031,24,22.62031888996381,,,,
prefix_cache,ollama,qwen3:0.6b,512,1,2,93.34490000037476,1056.0365999990609,1031,24,24.930099636293484,,,,
concurrency,ollama,qwen3:0.6b,1024,1,1,11544.756199999028,13363.206799998807,2058,30,16.49756116553491,,,,
concurrency,ollama,qwen3:0.6b,1024,2,1,191.92689999908907,1980.396799999653,2058,29,16.214977954054948,,,,
concurrency,ollama,qwen3:0.6b,1024,2,2,2018.939199999295,3839.5475999986957,2058,29,15.928741183446999,,,,
concurrency,ollama,qwen3:0.6b,1024,4,1,2185.2715000004537,4023.9556000015,2058,29,15.772149223449258,,,,
concurrency,ollama,qwen3:0.6b,1024,4,2,6532.015600001614,8909.041200000502,2058,29,12.200121025206279,,,,
concurrency,ollama,qwen3:0.6b,1024,4,3,4036.9819999996253,6378.7154000001465,2058,29,12.3839887153651,,,,
concurrency,ollama,qwen3:0.6b,1024,4,4,204.45599999948172,1996.537699998953,2058,29,16.182297938765043,,,,
